7444,75056
9070,50129
9071,50173
9122,50602
11240,50162
11270,50203
11282,50077
11318,50600
11358,50416
11939,50209
11950,50296
11957,50101
11958,50178
11968,50142
11978,50539
11988,50596
18000,66136
18311,66195
18316,66038
18318,66213
18326,66227
18328,66028
18349,66186
18350,66037
18351,66141
18352,66021
18354,66224
18362,66182
18363,66017
18375,66048
18391,66016
18409,66053
18416,66008
18417,66065
18419,66168
18428,66196
18475,66093
18476,66024
18477,66172
18478,66012
18479,66014
18482,66210
18484,66108
18496,66124
20224,66149
20339,66088
20842,44055
20843,44135
20846,44049
20880,44010
21507,44132
21541,01283
21557,01014
21591,01148
21627,66006
21638,66039
22157,66096
22208,66143
22214,66158
22218,66169
22223,66097
22224,66092
22242,66107
22270,66187
22315,66152
22319,66046
22323,66077
22365,66232
22367,66083
22368,66184
22531,66117
22588,66003
23234,66015
23237,66026
23266,66049
23303,66133
23308,66101
23315,66217
23324,66145
23340,66226
23618,39102
23619,39351
23621,39283
23759,66138
23763,66069
23772,78322
23773,91534
23784,01011
23790,66214
23795,66134
23804,66084
23814,66211
23823,66099
23895,66112
24457,66044
24458,66170
24459,66207
24858,66029
24940,66033
25873,66177
26637,01237
26640,01181
26657,01265
27529,66032
27631,78343
27632,78117
27633,78620
27685,78640
27694,92060
27811,78545
27973,78073
28036,91312
28069,92071
28720,34270
28722,34172
28726,34129
28727,34123
28728,34134
28752,34240
28790,34192
28795,34337
28802,34198
28810,34057
28811,34176
28815,34090
28818,34022
28821,34327
28900,34259
28904,34116
28907,34169
28909,34247
28913,34077
28922,34120
28953,34095
28956,34295
28958,34202
28960,34088
28962,34050
28963,34309
28998,34014
29036,92023
29066,34179
29141,34163
29144,34320
29147,34082
29149,34255
29188,83126
29244,91064
29251,91377
29339,35055
29362,91479
29366,91027
29369,91286
29675,49032
30232,01035
30233,01152
30242,01298
30261,01087
30272,78297
30284,49042
30294,78686
30295,78646
30300,01274
30305,56121
30325,56185
30404,56107
30407,56162
30430,56078
30434,56063
30777,49004
30897,78356
31237,49106
31253,49326
31254,49241
31255,49246
31256,49117
31262,49353
31281,78242
31283,78524
31284,78158
31338,92077
31339,92022
31340,92072
31341,92048
31343,78455
31344,78674
31345,78518
31346,78165
31394,92076
31445,78350
31542,56179
33263,91235
33338,91549
33339,91667
33352,91347
33361,91425
33362,91665
33363,91685
33364,91044
33366,91570
33367,91216
33429,91589
33431,91432
33501,91587
33504,91477
33505,91471
33914,92019
34057,91458
34059,91666
34076,91363
34167,66041
34278,91339
34280,91333
34679,94021
34684,94065
34917,31069
35078,31149
35280,83137
35287,83103
35735,31557
35738,31555
35759,31355
36208,01171
36209,01031
36238,31184
